area_name,pctdem2016,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr,Obama,Romney,population2014,population2010,population_change,age65plus,White,Black,Hispanic,NonEnglish,Edu_highschool,Edu_batchelors,Income,Poverty,Density
Autauga County,0.23956855,5908,18110,24661,AL,0.265757664,0.726337362,55395,54571,1.5,13.8,0.779,0.187,0.027,3.5,85.6,20.9,24571,12.1,91.8
Baldwin County,0.195653098,18409,72780,94090,AL,0.215665741,0.773897491,200111,182265,9.8,18.7,0.871,0.096,0.046,5.5,89.1,27.7,26766,13.9,114.6
Barbour County,0.466602502,4848,5431,10390,AL,0.512522908,0.483375513,26887,27457,-2.1,16.5,0.502,0.476,0.045,5,73.7,13.4,16829,26.7,31
Bibb County,0.214220393,1874,6733,8748,AL,0.262185675,0.730663806,22506,22919,-1.8,14.8,0.763,0.221,0.021,2.1,77.5,12.1,17427,18.1,36.8
Blount County,0.084699023,2150,22808,25384,AL,0.123477898,0.864929108,57719,57322,0.7,17,0.96,0.018,0.087,7.3,77,12.1,20730,15.8,88.9
Bullock County,0.750904063,3530,1139,4701,AL,0.763068823,0.235050771,10764,10915,-1.4,14.9,0.269,0.701,0.075,5.2,67.8,12.5,18628,21.6,17.5
Butler County,0.427864134,3716,4891,8685,AL,0.460508278,0.535800907,20296,20946,-3.1,18,0.539,0.44,0.012,1.7,76.3,14,17403,28.4,27
Calhoun County,0.278558764,13197,32803,47376,AL,0.335207612,0.65467128,115916,118586,-2.3,16,0.758,0.211,0.035,4.5,78.6,16.1,20828,21.9,195.7
Chambers County,0.418275512,5763,7803,13778,AL,0.470608433,0.521631644,34076,34170,-0.3,18.3,0.583,0.395,0.02,1.3,75.1,11.8,19291,24.1,57.4
Cherokee County,0.1451014,1524,8809,10503,AL,0.217805553,0.767749206,26037,25986,0.2,20.9,0.93,0.046,0.015,1.1,78.3,12.8,22030,21.2,46.9
Chilton County,0.159353602,2909,15068,18255,AL,0.19450499,0.797866238,43931,43631,0.7,15.2,0.871,0.106,0.077,7.4,76,12.9,20701,19.5,63
Choctaw County,0.427765548,3109,4102,7268,AL,0.475204018,0.521029504,13323,13858,-3.9,20.8,0.566,0.424,0.008,1.3,75.2,11.8,20323,21.5,15.2
Clarke County,0.441558442,5712,7109,12936,AL,0.456859767,0.539741086,24945,25840,-3.5,18,0.54,0.442,0.013,1.3,78.3,11.2,18979,29.3,20.9
Clay County,0.187766281,1234,5230,6572,AL,0.266566265,0.723192771,13552,13932,-2.7,19.4,0.828,0.145,0.034,3.3,76.5,9.2,18694,19,23.1
Cleburne County,0.104715248,684,5738,6532,AL,0.15407807,0.836083783,15080,14972,0.7,18.4,0.945,0.036,0.025,2.3,76,9,19108,18.4,26.7
Coffee County,0.204455711,4194,15825,20513,AL,0.248490997,0.742480345,50909,49948,1.9,15.9,0.764,0.177,0.064,7.5,82.4,22.5,23380,18.6,73.6
Colbert County,0.296272233,7296,16718,24626,AL,0.391888423,0.596004107,54543,54428,0.2,18.5,0.808,0.163,0.026,2.6,83.5,17.7,21572,17.9,91.8
Conecuh County,0.469050894,3069,3413,6543,AL,0.506345359,0.489662056,12670,13228,-4.2,20.4,0.521,0.462,0.018,2.2,77.3,8.8,15605,32.7,15.6
Coosa County,0.340800306,1780,3376,5223,AL,0.417318329,0.577531947,10886,11758,-7.4,18.5,0.661,0.318,0.023,3.3,75,9.8,18493,20.9,17.7
